Time (s),Temperature (°C)
0,36.39614287264069
60,36.36142184952711
120,35.81695068744664
180,35.9094685620779
240,35.581567609424795
300,36.310632940505585
360,36.25900965324145
420,35.607904376356494
480,35.74670576697903
540,36.38175718570696
600,36.14865114542118
660,36.48618148944034
720,35.56494357356679
780,35.79680513469849
840,36.309792261447626
900,36.33395560381084
960,36.359141769804914
1020,35.8761603617664
1080,36.039573397299925
1140,35.67555475778395
1200,35.599984238639706
1260,36.20516156205228
1320,36.40551589942241
1380,36.01743337323947
1440,35.753145570311155
1500,35.673431838678404
1560,35.72580284567269
1620,36.42343813990955
1680,35.58745368360819
1740,35.60290827104033
1800,35.61852125492223
1860,35.834871975108264
1920,35.758300971719436
1980,35.72255780526646
2040,36.10676427887878
2100,36.26890743380863
2160,36.111487281343884
2220,36.023877329891235
2280,36.461622546199614
2340,35.952023228093886
2400,36.25491184354488
2460,36.39019032075741
2520,36.14321541765344
2580,36.433276351936826
2640,35.990525696300644
2700,35.729005955311976
2760,35.76786100284483
2820,35.658349714287766
2880,35.797545665775004
2940,35.750348974640204
3000,36.22447278370892
3060,35.53947968099457
3120,35.806681977150035
3180,35.54147903522463
3240,36.398676286906266
3300,36.23777456510434
3360,35.88096000422865
3420,36.41210386855049
3480,35.999221975635734
3540,35.84942399099687
3600,35.918933152193055
3660,35.59167230225853
3720,35.634190914258575
3780,35.784885815331776
3840,35.63361785848354
3900,35.63802371964823
3960,35.94422377674415
4020,35.67407823474945
4080,35.81460731538875
4140,36.348028764861276
4200,35.821912161538954
4260,36.20102294817684
4320,35.845261776188835
4380,35.81189834791746
4440,35.6902934271879
4500,36.078682271205444
4560,35.725972167182846
4620,36.23518839443322
4680,35.59851929527583
4740,36.49373963672056
4800,36.416758798841876
4860,35.937018078811356
4920,35.919930175912185
4980,36.470535357760454
5040,35.893265087550624
5100,36.32631018155948
5160,36.196719620772825
5220,35.55741590414005
5280,36.24550913739136
5340,36.13948535779621
5400,35.5916296255514
5460,35.766269444189085
5520,35.59024881412388
5580,35.53163682292077
5640,36.31309062778409
5700,35.543989614202324
5760,35.74475969136066
5820,36.37030385590545
5880,35.53925256998766
5940,36.043272647060796
6000,36.0765320258641
6060,36.456225596815905
6120,36.03329521279801
6180,35.65467417583498
6240,36.11468078029619
6300,36.48805203418117
6360,36.2775702523107
6420,35.542023789806194
6480,36.213058021947155
6540,36.21203700623145
6600,36.39833464467813
6660,36.30029222400382
6720,36.200322148426686
6780,36.00956002579509
6840,36.2098881649906
6900,36.255269676122985
6960,36.29002513627143
7020,35.9537411096019
7080,36.11080319745834
7140,36.39002093711738
